"{""Student's name"": 'Josue'}","{""Student's Class ID"": '1234'}",{'Spanish grade': 100},{'English grade': 100},{'Social Studies grade': 100},{'Science grade': 100},"{""Avarage score for this student's grades"": 100.0}"
"{""Student's name"": 'David'}","{""Student's Class ID"": '4444'}",{'Spanish grade': 98},{'English grade': 90},{'Social Studies grade': 80},{'Science grade': 99},"{""Avarage score for this student's grades"": 91.75}"
"{""Student's name"": 'josue'}","{""Student's Class ID"": '1234'}",{'Spanish grade': 100},{'English grade': 100},{'Social Studies grade': 100},{'Science grade': 100},"{""Avarage score for this student's grades"": 100.0}"
"{""Student's name"": 'david'}","{""Student's Class ID"": '0000'}",{'Spanish grade': 90},{'English grade': 99},{'Social Studies grade': 98},{'Science grade': 30},"{""Avarage score for this student's grades"": 79.25}"
"{""Student's name"": 'esteban'}","{""Student's Class ID"": '3293'}",{'Spanish grade': 89},{'English grade': 89},{'Social Studies grade': 90},{'Science grade': 100},"{""Avarage score for this student's grades"": 92.0}"
"{""Student's name"": 'josue'}","{""Student's Class ID"": '1234'}",{'Spanish grade': 100},{'English grade': 100},{'Social Studies grade': 100},{'Science grade': 100},"{""Avarage score for this student's grades"": 100.0}"
"{""Student's name"": 'david'}","{""Student's Class ID"": '0000'}",{'Spanish grade': 90},{'English grade': 99},{'Social Studies grade': 98},{'Science grade': 30},"{""Avarage score for this student's grades"": 79.25}"
"{""Student's name"": 'esteban'}","{""Student's Class ID"": '3293'}",{'Spanish grade': 89},{'English grade': 89},{'Social Studies grade': 90},{'Science grade': 100},"{""Avarage score for this student's grades"": 92.0}"
"{""Student's name"": 'robert'}","{""Student's Class ID"": '3333'}",{'Spanish grade': 75},{'English grade': 99},{'Social Studies grade': 70},{'Science grade': 100},"{""Avarage score for this student's grades"": 86.0}"
"{""Student's name"": 'xxxx'}","{""Student's Class ID"": '1111'}",{'Spanish grade': 5},{'English grade': 5},{'Social Studies grade': 5},{'Science grade': 5},"{""Avarage score for this student's grades"": 5.0}"
